epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.5604,1.61113,4.96964,1.16808,0.11361,0.01974,0.00414,0.00224,1.85755,4.67315,1.50365,0.0793,0.0023,0.0023
2,177.498,1.60791,3.77464,1.18997,0.0122,0.00113,0.00058,0.00034,2.30907,55.0738,2.87033,0.0575965,0.00459648,0.00459648
3,270.806,1.57615,3.54006,1.21052,0,0,0,0,4.91418,10058.2,17.0444,0.0354898,0.00648981,0.00648981
4,361.811,1.52322,3.29998,1.20647,0,0,0,0,4.12217,1102.46,6.76797,0.0127378,0.00773778,0.00773778
5,451.118,1.41696,3.1923,1.15877,0.01114,0.00056,1e-05,0,4.05983,537.155,5.79413,0.00689058,0.00689058,0.00689058
6,543.102,1.37509,3.12941,1.15477,0.00385,0.05146,0.00518,0.00385,1.6508,10.0404,1.79163,0.0055,0.0055,0.0055
7,631.604,1.3798,3.07486,1.1724,0.00572,0.10143,0.01324,0.00953,1.64453,4.04732,1.50318,0.00410942,0.00410942,0.00410942
